Room Type,Guests,Price,Rating,Check-in Date,Report Date,HWV Property,Competitor
Mock Turtle,2,274,9.2,2025-01-04,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Dormouse,2,274,9.2,2025-01-04,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Jean’s,2,319,9.2,2025-01-04,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mad Hatter,2,319,9.2,2025-01-04,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Caterpillar Balcony Room,2,349,9.2,2025-01-04,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Cheshire Cat,2,349,9.2,2025-01-04,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
White Rabbit Balcony Room,2,362,9.2,2025-01-04,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledee,2,366,9.2,2025-01-04,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mobberly Bedroom,4,503,9.2,2025-01-04,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Bramhall Bedroom,4,503,9.2,2025-01-04,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Prestbury Bedroom,4,503,9.2,2025-01-04,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Woodford Bedroom,4,503,9.2,2025-01-04,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Dormouse,2,247,9.2,2025-01-05,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Duchess,2,259,9.2,2025-01-05,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Jean’s,2,286,9.2,2025-01-05,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mad Hatter,2,286,9.2,2025-01-05,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Caterpillar Balcony Room,2,315,9.2,2025-01-05,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Eberle Room,2,315,9.2,2025-01-05,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Cheshire Cat,2,315,9.2,2025-01-05,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Alice’s Balcony Room,2,326,9.2,2025-01-05,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledee,2,329,9.2,2025-01-05,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mobberly Bedroom,4,453,9.2,2025-01-05,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Bramhall Bedroom,4,453,9.2,2025-01-05,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Prestbury Bedroom,4,453,9.2,2025-01-05,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Woodford Bedroom,4,453,9.2,2025-01-05,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Dormouse,2,247,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Duchess,2,259,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mad Hatter,2,286,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Jean’s,2,286,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Caterpillar Balcony Room,2,315,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Cheshire Cat,2,315,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Eberle Room,2,315,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Queen of Hearts,2,318,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Alice’s Balcony Room,2,326,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledee,2,329,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledum,2,382,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Bramhall Bedroom,4,453,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mobberly Bedroom,4,453,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Prestbury Bedroom,4,453,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Woodford Bedroom,4,453,9.2,2025-01-06,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
March Hare,2,247,9.2,2025-01-07,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Dormouse,2,247,9.2,2025-01-07,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Duchess,2,259,9.2,2025-01-07,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mad Hatter,2,286,9.2,2025-01-07,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Caterpillar Balcony Room,2,315,9.2,2025-01-07,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Eberle Room,2,315,9.2,2025-01-07,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Cheshire Cat,2,315,9.2,2025-01-07,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Queen of Hearts,2,318,9.2,2025-01-07,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Alice’s Balcony Room,2,326,9.2,2025-01-07,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Tweedledee,2,329,9.2,2025-01-07,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mobberly Bedroom,4,453,9.2,2025-01-07,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Bramhall Bedroom,4,453,9.2,2025-01-07,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Prestbury Bedroom,4,453,9.2,2025-01-07,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Woodford Bedroom,4,453,9.2,2025-01-07,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
March Hare,2,290,9.2,2025-01-08,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Dormouse,2,247,9.2,2025-01-08,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mock Turtle,2,247,9.2,2025-01-08,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Duchess,2,259,9.2,2025-01-08,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Mad Hatter,2,286,9.2,2025-01-08,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Caterpillar Balcony Room,2,315,9.2,2025-01-08,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Cheshire Cat,2,315,9.2,2025-01-08,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Eberle Room,2,315,9.2,2025-01-08,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
Queen of Hearts,2,318,9.2,2025-01-08,01-03-2025,Santa Barabara Property,Cheshire Cat Inn & Cottages
