Room Type,Guests,Price,Rating,Check-in Date,Report Date,HWV Property,Competitor
King Suite,2,380,10,2025-01-08,01-07-2025,Templeton,SummerWood Inn
King Suite,2,380,10,2025-01-09,01-07-2025,Templeton,SummerWood Inn
King Suite,2,380,10,2025-01-12,01-07-2025,Templeton,SummerWood Inn
King Suite,2,380,10,2025-01-13,01-07-2025,Templeton,SummerWood Inn
King Suite,2,380,10,2025-01-14,01-07-2025,Templeton,SummerWood Inn
King Suite,2,380,10,2025-01-15,01-07-2025,Templeton,SummerWood Inn
King Suite,2,380,10,2025-01-16,01-07-2025,Templeton,SummerWood Inn
King Suite,2,380,10,2025-01-19,01-07-2025,Templeton,SummerWood Inn
King Suite,2,380,10,2025-01-20,01-07-2025,Templeton,SummerWood Inn
King Suite,2,380,10,2025-01-21,01-07-2025,Templeton,SummerWood Inn
King Suite,2,380,10,2025-01-22,01-07-2025,Templeton,SummerWood Inn
King Suite,2,380,10,2025-01-23,01-07-2025,Templeton,SummerWood Inn
King Suite,2,380,10,2025-01-28,01-07-2025,Templeton,SummerWood Inn
King Suite,2,380,10,2025-01-29,01-07-2025,Templeton,SummerWood Inn
King Suite,2,380,10,2025-01-30,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-02,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-03,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-04,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-05,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-09,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-10,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-11,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-12,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-13,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-16,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-17,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-18,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-19,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-20,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-24,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-25,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-26,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-02-27,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-02,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-03,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-04,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-05,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-06,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-09,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-10,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-11,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-12,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-13,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-16,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-17,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-18,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-19,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-20,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-23,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-24,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-25,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-26,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-27,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-30,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-03-31,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-01,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-02,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-03,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-06,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-07,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-08,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-09,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-10,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-13,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-14,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-15,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-17,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-20,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-21,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-22,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-23,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-24,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-27,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-28,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-29,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-04-30,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-05-01,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-05-04,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-05-05,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-05-06,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-05-07,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-05-11,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-05-12,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-05-13,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-05-14,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-05-15,01-07-2025,Templeton,SummerWood Inn
King Suite,2,400,10,2025-05-18,01-07-2025,Templeton,SummerWood Inn
