Room Type,Guests,Price,Rating,Check-in Date,Report Date,HWV Property,Competitor
Deluxe King Room,2,163,8.6,2025-01-03,01-02-2025,HH,Pea Soup Andersens
Deluxe King Room Upstairs,2,163,8.6,2025-01-03,01-02-2025,HH,Pea Soup Andersens
Standard Queen Room with Two Queen Beds,4,139,8.6,2025-01-03,01-02-2025,HH,Pea Soup Andersens
Deluxe Queen Room with Two Queen Beds,4,163,8.6,2025-01-03,01-02-2025,HH,Pea Soup Andersens
Deluxe King Room,2,185,8.6,2025-01-04,01-02-2025,HH,Pea Soup Andersens
Standard King Room Upstairs,2,159,8.6,2025-01-04,01-02-2025,HH,Pea Soup Andersens
Deluxe King Room Upstairs,2,185,8.6,2025-01-04,01-02-2025,HH,Pea Soup Andersens
Standard Queen Room with Two Queen Beds Upstairs,4,159,8.6,2025-01-04,01-02-2025,HH,Pea Soup Andersens
Standard Queen Room with Two Queen Beds,4,159,8.6,2025-01-04,01-02-2025,HH,Pea Soup Andersens
Deluxe Queen Room with Two Queen Beds Upstairs,4,185,8.6,2025-01-04,01-02-2025,HH,Pea Soup Andersens
Deluxe King Room,2,119,8.6,2025-01-05,01-02-2025,HH,Pea Soup Andersens
Standard King Room Upstairs,2,99,8.6,2025-01-05,01-02-2025,HH,Pea Soup Andersens
Standard King Room,2,99,8.6,2025-01-05,01-02-2025,HH,Pea Soup Andersens
Deluxe King Room Upstairs,2,119,8.6,2025-01-05,01-02-2025,HH,Pea Soup Andersens
Standard Queen Room with Two Queen Beds Upstairs,4,99,8.6,2025-01-05,01-02-2025,HH,Pea Soup Andersens
Standard Queen Room with Two Queen Beds,4,99,8.6,2025-01-05,01-02-2025,HH,Pea Soup Andersens
Deluxe Queen Room with Two Queen Beds,4,119,8.6,2025-01-05,01-02-2025,HH,Pea Soup Andersens
Deluxe Queen Room with Two Queen Beds Upstairs,4,119,8.6,2025-01-05,01-02-2025,HH,Pea Soup Andersens
Deluxe King Room,2,119,8.6,2025-01-06,01-02-2025,HH,Pea Soup Andersens
Standard King Room Upstairs,2,99,8.6,2025-01-06,01-02-2025,HH,Pea Soup Andersens
Standard King Room,2,99,8.6,2025-01-06,01-02-2025,HH,Pea Soup Andersens
Deluxe King Room Upstairs,2,119,8.6,2025-01-06,01-02-2025,HH,Pea Soup Andersens
Standard Queen Room with Two Queen Beds Upstairs,4,99,8.6,2025-01-06,01-02-2025,HH,Pea Soup Andersens
Standard Queen Room with Two Queen Beds,4,99,8.6,2025-01-06,01-02-2025,HH,Pea Soup Andersens
Deluxe Queen Room with Two Queen Beds Upstairs,4,119,8.6,2025-01-06,01-02-2025,HH,Pea Soup Andersens
Deluxe Queen Room with Two Queen Beds,4,119,8.6,2025-01-06,01-02-2025,HH,Pea Soup Andersens
Deluxe King Room,2,119,8.6,2025-01-07,01-02-2025,HH,Pea Soup Andersens
Standard King Room Upstairs,2,99,8.6,2025-01-07,01-02-2025,HH,Pea Soup Andersens
Standard King Room,2,99,8.6,2025-01-07,01-02-2025,HH,Pea Soup Andersens
Deluxe King Room Upstairs,2,119,8.6,2025-01-07,01-02-2025,HH,Pea Soup Andersens
Standard Queen Room with Two Queen Beds Upstairs,4,99,8.6,2025-01-07,01-02-2025,HH,Pea Soup Andersens
Standard Queen Room with Two Queen Beds,4,99,8.6,2025-01-07,01-02-2025,HH,Pea Soup Andersens
Deluxe Queen Room with Two Queen Beds,4,119,8.6,2025-01-07,01-02-2025,HH,Pea Soup Andersens
Deluxe Queen Room with Two Queen Beds Upstairs,4,119,8.6,2025-01-07,01-02-2025,HH,Pea Soup Andersens
Deluxe King Room,2,119,8.6,2025-01-08,01-02-2025,HH,Pea Soup Andersens
Standard King Room Upstairs,2,99,8.6,2025-01-08,01-02-2025,HH,Pea Soup Andersens
Standard King Room,2,99,8.6,2025-01-08,01-02-2025,HH,Pea Soup Andersens
Deluxe King Room Upstairs,2,119,8.6,2025-01-08,01-02-2025,HH,Pea Soup Andersens
Standard Queen Room with Two Queen Beds Upstairs,4,99,8.6,2025-01-08,01-02-2025,HH,Pea Soup Andersens
Standard Queen Room with Two Queen Beds,4,99,8.6,2025-01-08,01-02-2025,HH,Pea Soup Andersens
Deluxe Queen Room with Two Queen Beds Upstairs,4,119,8.6,2025-01-08,01-02-2025,HH,Pea Soup Andersens
Deluxe Queen Room with Two Queen Beds,4,119,8.6,2025-01-08,01-02-2025,HH,Pea Soup Andersens
Deluxe King Room,2,119,8.6,2025-01-09,01-02-2025,HH,Pea Soup Andersens
Standard King Room Upstairs,2,99,8.6,2025-01-09,01-02-2025,HH,Pea Soup Andersens
