Property,Competitor,Address,Link
Flats at Southside,Hot Metal Flats,"2915 Sidney St, Pittsburgh, PA 15203",https://www.apartments.com/hot-metal-flats-pittsburgh-pa/bgv9178/
Flats at Southside,Carson Street Commons,"2529 E. Carson St. Pittsburgh, PA 15203",https://www.apartments.com/carson-street-commons-pittsburgh-pa/bypghtc/
Flats at Southside,The Brix at 26,"75 S 26th St, Pittsburgh, PA 15203",https://www.apartments.com/the-brix-at-26-pittsburgh-pa/6zm86wt/
Flats at Southside,The Brewhouse Lofts,"711 S 21st Street, Pittsburgh PA 15203",https://www.apartments.com/the-flats-at-southside-works-pittsburgh-pa/099wh00/
Residences at South High,City View,"1420 Centre Ave, Pittsburgh, PA 15219",https://www.apartments.com/city-view-apartments-pittsburgh-pa/l1d4klg/
Residences at South High,5th Aveenue School Lofts,"1800 Fifth Ave, Pittsburgh, PA 15219",https://www.apartments.com/fifth-avenue-school-lofts-pittsburgh-pa/0jb5cg0/
Residences at South High,Terminal 21,"615 First Ave, Pittsburgh, PA 15219",https://www.apartments.com/terminal-21-pittsburgh-pa/eqe2jvp/
Residences at South High,Connection at Southside,"2984 Sidney St, Pittsburgh, PA 15203",https://www.apartments.com/connection-at-south-side-pittsburgh-pa/2ytyqp8/
Residences at the Street,Parkside Estate,202 Ketchum Drive Canonsburg PA 15317,https://www.apartments.com/parkside-estates-canonsburg-pa/es3vcpn/
Residences at the Street,1400 Main Apartments,1400 Main Street Canonsburg PA 15317,https://www.apartments.com/1400-main-canonsburg-pa/n4deknq/
Residences at the Street,Park Place,Park Place Dr Washington PA 15301,https://www.apartments.com/residences-at-the-street-washington-pa/zl9yxrw/
Residences at the Street,Stone Creek,1 Clubhouse Circle Washington PA 15301,https://www.apartments.com/stonecreek-apartment-homes-washington-pa/esqhq8m/
Hampshire House,Liberty Pointe,35 Highland Re Bethel Park PA 15102,https://www.apartments.com/liberty-pointe-bethel-park-pa/dt7r15h/
Hampshire House,Evalee Apartments,7 Dorcherster Drive Pittsburgh Pa 15241,https://www.apartments.com/the-evalee-apartments-pittsburgh-pa/4vvnhrh/
Hampshire House,Ashby at South Hills,1100 Village Drive Pittsburgh Pa 15241,https://www.apartments.com/the-ashby-at-south-hills-village-station-pittsburgh-pa/gdcp1px/
Hampshire House,The Alden ,"5492 Youngridge Dr, Pittsburgh, PA 15236",https://www.apartments.com/the-alden-pittsburgh-pa/9ws6nj7/
Williamsburg South,Liberty Pointe,35 Highland Re Bethel Park PA 15102,https://www.apartments.com/liberty-pointe-bethel-park-pa/dt7r15h/
Williamsburg South,Evalee Apartments,7 Dorcherster Drive Pittsburgh Pa 15241,https://www.apartments.com/the-evalee-apartments-pittsburgh-pa/4vvnhrh/?gad_source=1&gclid=EAIaIQobChMIqZXyyt-xiQMVsHNHAR1iIStgEAAYASAAEgJNU_D_BwE&gclsrc=aw.ds
Williamsburg South,Ashby at South Hills,1100 Village Drive Pittsburgh Pa 15241,https://www.apartments.com/the-ashby-at-south-hills-village-station-pittsburgh-pa/gdcp1px/
Williamsburg South,The Alden ,"5492 Youngridge Dr, Pittsburgh, PA 15236",https://www.apartments.com/the-alden-pittsburgh-pa/9ws6nj7/
West77,River North Park,"320 W Illinois St, Chicago, IL 60654",https://www.apartments.com/river-north-park-apartments-chicago-il/tbg3pjc/
West77,Chestnut Tower ,"121 W Chestnut St, Chicago, IL 60610",https://www.apartments.com/chestnut-tower-apartments-chicago-il/k7934pc/
West77,The Chicagoan,"750 N Rush Chicago, IL 60611",https://www.apartments.com/the-chicagoan-chicago-il/j8pqc34/?gad_source=1&gclid=EAIaIQobChMIxMn9zt-xiQMVOWtHAR2bNxbjEAAYASAAEgL8UvD_BwE&gclsrc=aw.ds
West77,Arrive Streeterville,"333 E Ontario St, Chicago, IL 60611",https://www.apartments.com/arrive-streeterville-chicago-il/90fhlb7/?gad_source=1&gclid=EAIaIQobChMIl-ns0t-xiQMVBmZHAR3-CSgoEAAYASAAEgKLRfD_BwE&gclsrc=aw.ds
West77,Amli 808,"808 N Wells St, Chicago, IL 60610",https://www.apartments.com/amli-808-chicago-il/sjf7je6/
Bryant I&II,Oak Park Residence Corp,"41 south blvd, Oak Park 60302",https://www.apartments.com/oak-park-residence-corporation-oak-park-il/dk4pz0j/
Bryant I&II,Pleasant Court Condominiums,"932 Pleasant Street, Oak Park, IL 60302",https://www.apartments.com/pleasant-court-oak-park-il/6cz1nnv/
Bryant I&II,Oak Park Apartments ,301-313 N. Oak Park Ave,https://www.apartments.com/301-313-n-oak-park-ave-oak-park-il/eejn1pn/
Bryant I&II,The Emerson,"1135 Westgate St, Oak Park, IL 60301",https://www.apartments.com/the-emerson-oak-park-il/6fvglbs/
Bryant I&II,Vantage Oak Park ,"150 Forest Ave, Oak Park, IL 60301",https://www.apartments.com/renew-oak-park-oak-park-il/6t33g0v/
Bryant I&II,Porter Apartrments ,"1105 Pleasant St St, Oak Park, IL 60302",https://www.apartments.com/porter-oak-park-il/pybxjst/
Hinsdale/Clarendon,Colonial Gardens,"5508 S. Madison St., Hinsdale, IL",https://www.apartments.com/colonial-gardens-hinsdale-il/4v6qkrh/
Hinsdale/Clarendon,TGM Willowbrook,"6060 Laurel Ln., Willowbrook, IL",https://www.apartments.com/tgm-willowbrook-willowbrook-il/5wzbndp/
Hinsdale/Clarendon,Willowbrook Apt. Homes,"7440 Tennessee Dr., Willowbrook, IL",https://www.apartments.com/willowbrook-apartment-homes-willowbrook-il/1dnrtf7/
Hinsdale/Clarendon,Axis @ Westmont,"1 Fountainhead Dr., Westmont, IL",https://www.apartments.com/axis-at-westmont-westmont-il/w4qjhjh/
Hinsdale/Clarendon,ReNew Westmont,"6715 Lakeshore Dr., Westmont, IL",https://www.apartments.com/renew-westmont-westmont-il/ph0q10r/?gad_source=1&gclid=EAIaIQobChMI6dzy8d-xiQMValxHAR2OCBFMEAAYASAAEgLv7PD_BwE&gclsrc=aw.ds
Hinsdale/Clarendon,Twin Lake Tower,"200 W. 60th St., Westmont, IL",https://www.apartments.com/twin-lake-towers-westmont-il/cmp30sd/
