Area,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
"Grand Lake, CO",12/30/2024,12:15 AM,45ʡF,32ʡF,61ʡ%,W,17ʡmph,30ʡmph,24.06ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,12:35 AM,45ʡF,32ʡF,61ʡ%,W,25ʡmph,37ʡmph,24.05ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,12:55 AM,45ʡF,30ʡF,57ʡ%,W,22ʡmph,30ʡmph,24.05ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,1:15 AM,45ʡF,30ʡF,57ʡ%,W,24ʡmph,29ʡmph,24.05ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,1:35 AM,45ʡF,28ʡF,53ʡ%,W,23ʡmph,29ʡmph,24.05ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,1:55 AM,45ʡF,28ʡF,53ʡ%,W,24ʡmph,33ʡmph,24.06ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,2:15 AM,45ʡF,28ʡF,53ʡ%,W,28ʡmph,35ʡmph,24.07ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,2:35 AM,43ʡF,28ʡF,57ʡ%,W,21ʡmph,31ʡmph,24.09ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,2:55 AM,43ʡF,28ʡF,57ʡ%,W,18ʡmph,0ʡmph,24.11ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,3:15 AM,43ʡF,27ʡF,53ʡ%,WSW,18ʡmph,24ʡmph,24.11ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,3:35 AM,41ʡF,27ʡF,57ʡ%,W,15ʡmph,22ʡmph,24.11ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,3:55 AM,43ʡF,25ʡF,49ʡ%,W,18ʡmph,24ʡmph,24.12ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,4:15 AM,41ʡF,23ʡF,49ʡ%,W,20ʡmph,0ʡmph,24.11ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,4:35 AM,41ʡF,21ʡF,45ʡ%,W,21ʡmph,0ʡmph,24.11ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,4:55 AM,41ʡF,19ʡF,42ʡ%,W,21ʡmph,0ʡmph,24.12ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,5:15 AM,41ʡF,19ʡF,42ʡ%,W,20ʡmph,0ʡmph,24.14ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,5:35 AM,41ʡF,18ʡF,39ʡ%,WNW,16ʡmph,0ʡmph,24.15ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,5:45 AM,43ʡF,14ʡF,31ʡ%,W,21ʡmph,0ʡmph,24.16ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,6:45 AM,39ʡF,23ʡF,52ʡ%,W,22ʡmph,30ʡmph,24.19ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,7:45 AM,39ʡF,14ʡF,36ʡ%,WSW,17ʡmph,0ʡmph,24.20ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,8:45 AM,43ʡF,10ʡF,27ʡ%,W,33ʡmph,46ʡmph,24.20ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,9:35 AM,45ʡF,1ʡF,17ʡ%,WNW,38ʡmph,58ʡmph,24.22ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,9:52 AM,45ʡF,1ʡF,17ʡ%,WNW,32ʡmph,52ʡmph,24.23ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,10:45 AM,46ʡF,3ʡF,17ʡ%,WNW,25ʡmph,35ʡmph,24.25ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,11:45 AM,46ʡF,7ʡF,20ʡ%,WNW,16ʡmph,26ʡmph,24.25ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,12:45 PM,45ʡF,3ʡF,18ʡ%,WNW,25ʡmph,33ʡmph,24.24ʡin,0.0ʡin,Fair / Windy
"Grand Lake, CO",12/30/2024,1:57 PM,45ʡF,7ʡF,21ʡ%,WNW,18ʡmph,23ʡmph,24.27ʡin,0.0ʡin,Fair
"Grand Lake, CO",12/30/2024,2:50 PM,43ʡF,10ʡF,27ʡ%,W,15ʡmph,0ʡmph,24.28ʡin,0.0ʡin,Partly Cloudy
"Grand Lake, CO",12/30/2024,3:58 PM,41ʡF,9ʡF,26ʡ%,WNW,20ʡmph,26ʡmph,24.33ʡin,0.0ʡin,Partly Cloudy
"Grand Lake, CO",12/30/2024,4:54 PM,36ʡF,12ʡF,38ʡ%,WNW,24ʡmph,30ʡmph,24.36ʡin,0.0ʡin,Partly Cloudy / Windy
"Grand Lake, CO",12/30/2024,5:45 PM,34ʡF,5ʡF,30ʡ%,W,24ʡmph,32ʡmph,24.35ʡin,0.0ʡin,Partly Cloudy / Windy
"Grand Lake, CO",12/30/2024,6:57 PM,36ʡF,3ʡF,26ʡ%,W,22ʡmph,26ʡmph,24.38ʡin,0.0ʡin,Partly Cloudy / Windy
